Время, сек;Давление (избыточное), кПа;Температура,°С
582;4962,73;0,92
583;4962,35;0,92
584;4962,35;0,92
585;4962,35;0,92
586;4962,35;0,92
587;4962,35;0,91
588;4962,35;0,91
589;4962,35;0,91
590;4962,35;0,91
591;4962,35;0,91
592;4962,35;0,91
593;4962,35;0,91
594;4962,35;0,91
595;4962,35;0,91
596;4962,35;0,91
597;4962,35;0,91
598;4962,35;0,9
599;4962,35;0,91
600;4962,35;0,91
601;4962,35;0,9
602;4962,35;0,9
603;4962,73;0,9
604;4962,73;0,9
605;4962,73;0,9
606;4962,73;0,9
607;4962,73;0,9
608;4962,73;0,9
609;4963,12;0,9
610;4963,12;0,9
611;4962,73;0,89
612;4962,73;0,89
613;4962,73;0,89
614;4962,35;0,89
615;4962,35;0,89
616;4962,35;0,89
617;4961,97;0,89
618;4961,97;0,89
619;4961,59;0,89
620;4961,59;0,89
621;4961,59;0,89
622;4961,21;0,89
623;4961,21;0,89
624;4961,21;0,89
625;4961,21;0,88
626;4961,21;0,88
627;4961,21;0,88
628;4961,21;0,88
629;4961,21;0,88
630;4961,21;0,88
631;4961,21;0,88
632;4961,59;0,88
633;4961,59;0,88
634;4961,59;0,88
635;4961,59;0,87
636;4961,59;0,87
637;4961,59;0,87
638;4961,59;0,87
639;4961,59;0,87
640;4961,59;0,87
641;4961,21;0,87
642;4961,21;0,87
643;4961,21;0,86
644;4961,21;0,87
645;4961,21;0,87
646;4961,21;0,87
647;4961,21;0,87
648;4961,21;0,86
649;4961,21;0,86
650;4961,21;0,86
651;4961,21;0,86
652;4961,21;0,86
653;4961,21;0,86
654;4961,21;0,86
655;4961,21;0,86
656;4961,21;0,86
657;4961,21;0,86
658;4961,21;0,86
659;4961,21;0,86
660;4961,21;0,86
661;4961,21;0,86
662;4961,21;0,86
663;4961,21;0,86
664;4961,21;0,86
665;4961,21;0,86
666;4961,21;0,85
667;4961,21;0,85
668;4961,21;0,85
669;4961,21;0,85
670;4961,21;0,85
671;4960,83;0,85
672;4960,44;0,85
673;4960,06;0,85
674;4959,68;0,85
675;4959,3;0,85
676;4958,54;0,84
677;4958,54;0,84
678;4958,15;0,84
679;4957,77;0,84
680;4957,39;0,84
681;4957,01;0,84
682;4956,63;0,84
683;4956,25;0,84
684;4956,25;0,84
685;4956,25;0,84
686;4956,25;0,84
687;4956,25;0,84
688;4956,25;0,84
689;4956,25;0,84
690;4956,25;0,83
691;4956,25;0,83
692;4956,25;0,83
693;4956,25;0,83
694;4956,63;0,83
695;4956,63;0,83
696;4956,63;0,83
697;4956,63;0,83
698;4956,63;0,83
699;4956,63;0,83
700;4956,63;0,83
701;4956,63;0,82
